"Idex"	"I"	"I"	"I"	"O"
175	3.39	4.05	0	3.03
176	3.03	3.39	3.2	2.41
177	2.41	3.03	1.8	2.32
178	2.32	2.41	4.4	2.41
179	2.41	2.32	6.7	2.37
180	2.37	2.41	0	2.11
181	2.11	2.37	0	2.11
182	2.11	2.11	0	1.99
183	1.99	2.11	0	1.76
184	1.76	1.99	0	1.69
185	1.69	1.76	0.7	2.03
186	2.03	1.69	8.8	2.32
187	2.32	2.03	28.4	9.2
188	9.2	2.32	0.5	5.99
189	5.99	9.2	0.3	3.66
190	3.66	5.99	0.6	2.74
191	2.74	3.66	0.1	2.59
192	2.59	2.74	3.7	2.59
193	2.59	2.59	6.1	2.37
194	2.37	2.59	2	3.03
195	3.03	2.37	8.2	4.98
196	4.98	3.03	3.5	6.57
197	6.57	4.98	0.2	4.81
198	4.81	6.57	0	3.39
199	3.39	4.81	0	3.03
200	3.03	3.39	0.4	2.64
201	2.64	3.03	8.8	6.68
202	6.68	2.64	0.2	3.45
203	3.45	6.68	0.9	2.64
204	2.64	3.45	11.1	3.09
205	3.09	2.64	23.2	6.25
206	6.25	3.09	0.5	8.87
207	8.87	6.25	31.9	36.24
208	36.24	8.87	7.6	17.41
209	17.41	36.24	1.9	11.61
210	11.61	17.41	0	8.01
211	8.01	11.61	1.5	6.32
212	6.32	8.01	0.3	5.49
213	5.49	6.32	1.4	4.98
214	4.98	5.49	7.4	5.23
215	5.23	4.98	18	24.42
216	24.42	5.23	6.9	25.29
217	25.29	24.42	0.1	12.04
218	12.04	25.29	2.9	8.54
219	8.54	12.04	0	6.83
220	6.83	8.54	2.4	5.67
221	5.67	6.83	2.9	4.98
222	4.98	5.67	7.5	4.86
223	4.86	4.98	6.7	5.23
224	5.23	4.86	3.9	12.48
225	12.48	5.23	0.5	9.88
226	9.88	12.48	0.1	6.77
227	6.77	9.88	1.3	5.35
228	5.35	6.77	0	4.69
229	4.69	5.35	0	4.16
230	4.16	4.69	0	3.88
231	3.88	4.16	0	4.05
232	4.05	3.88	0.4	3.13
233	3.13	4.05	3.8	2.32
234	2.32	3.13	5	3.13
235	3.13	2.32	1.2	2.84
236	2.84	3.13	0.1	2.74
237	2.74	2.84	0	2.55
238	2.55	2.74	0	2.51
239	2.51	2.55	1.2	2.28
240	2.28	2.51	4	2.28
241	2.28	2.28	9.8	2.51
242	2.51	2.28	6.3	2.41
243	2.41	2.51	0.4	2.84
244	2.84	2.41	7.3	2.98
245	2.98	2.84	22.1	5.32
246	5.32	2.98	0.1	7.29
247	7.29	5.32	0	4.93
248	4.93	7.29	0	4
249	4	4.93	0	3.39
250	3.39	4	0	3.09
251	3.09	3.39	0	2.64
252	2.64	3.09	0	2.69
253	2.69	2.64	0	2.55
254	2.55	2.69	1.7	2.46
255	2.46	2.55	0.5	2.59
256	2.59	2.46	30.6	2.59
257	2.59	2.59	0	7.49
258	7.49	2.59	0	4.74
259	4.74	7.49	0	3.71
260	3.71	4.74	0	3.23
261	3.23	3.71	0	2.93
262	2.93	3.23	0	2.78
263	2.78	2.93	0.2	2.59
264	2.59	2.78	16.8	2.74
265	2.74	2.59	4.5	4.45
266	4.45	2.74	0.1	5.35
267	5.35	4.45	0	4.39
268	4.39	5.35	0.3	3.82
269	3.82	4.39	0.1	5.49
270	5.49	3.82	59.1	64.93
271	64.93	5.49	0.9	33.28
272	33.28	64.93	0.3	18.61
273	18.61	33.28	13.6	27.92
274	27.92	18.61	0	19.93
275	19.93	27.92	0	14.34
276	14.34	19.93	3.9	11.28
277	11.28	14.34	0	9.53
278	9.53	11.28	2.7	8.15
279	8.15	9.53	0	7.29
280	7.29	8.15	0	6.57
281	6.57	7.29	0.1	6.06
282	6.06	6.57	11.5	6.45
283	6.45	6.06	5.5	10.6
284	10.6	6.45	0.1	9.2
285	9.2	10.6	0	7.82
286	7.82	9.2	0	6.83
287	6.83	7.82	0.1	6.32
288	6.32	6.83	0.2	5.93
289	5.93	6.32	0.7	5.05
290	5.05	5.93	0	5.42
291	5.42	5.05	0	5.05
292	5.05	5.42	0	4.69
293	4.69	5.05	0	4.45
294	4.45	4.69	0	4.28
295	4.28	4.45	0	4.05
296	4.05	4.28	2.9	3.88
297	3.88	4.05	0.8	3.88
298	3.88	3.88	0.4	3.82
299	3.82	3.88	10.5	3.88
300	3.88	3.82	0.2	4.16
301	4.16	3.88	1.4	4.81
302	4.81	4.16	20.8	29.12
303	29.12	4.81	0.2	27.04
304	27.04	29.12	0.1	15.88
305	15.88	27.04	2.2	12.04
306	12.04	15.88	1.3	10.24
307	10.24	12.04	0.5	8.87
308	8.87	10.24	1.4	7.75
309	7.75	8.87	1	7.23
310	7.23	7.75	0	6.7
311	6.7	7.23	0	6.25
312	6.25	6.7	0.2	5.87
313	5.87	6.25	0.2	5.54
314	5.54	5.87	0	5.42
315	5.42	5.54	20.4	15.99
316	15.99	5.42	0.6	30.55
317	30.55	15.99	0	17.85
318	17.85	30.55	7.6	14.67
319	14.67	17.85	0.8	12.81
320	12.81	14.67	2.8	11.28
321	11.28	12.81	0.3	10.6
322	10.6	11.28	0.7	9.53
323	9.53	10.6	4.9	9.99
324	9.99	9.53	20.3	26.06
325	26.06	9.99	11.9	47.52
326	47.52	26.06	0.1	31.42
327	31.42	47.52	0	25.29
328	25.29	31.42	1	20.37
329	20.37	25.29	19	37.45
330	37.45	20.37	0.8	45.33
331	45.33	37.45	0	27.92
332	27.92	45.33	0.8	21.13
333	21.13	27.92	0	16.64
334	16.64	21.13	0	14.01
335	14.01	16.64	0	12.04
336	12.04	14.01	0	10.6
337	10.6	12.04	0	9.88
338	9.88	10.6	0.2	9.2
339	9.2	9.88	0.4	8.54
340	8.54	9.2	0	9.53
341	9.53	8.54	24.6	22.77
342	22.77	9.53	7.9	27.92
343	27.92	22.77	0.1	20.37
344	20.37	27.92	0	16.64
345	16.64	20.37	10.1	15.11
346	15.11	16.64	0	13.58
347	13.58	15.11	0	13.14
348	13.14	13.58	0	12.81
349	12.81	13.14	0	12.04
350	12.04	12.81	0	10.95
351	10.95	12.04	0.4	10.24
352	10.24	10.95	0	8.87
353	8.87	10.24	0	8.21
354	8.21	8.87	0	8.08
355	8.08	8.21	9.6	20.37
356	20.37	8.08	20.9	52.99
357	52.99	20.37	0.2	28.8
358	28.8	52.99	0	21.13
359	21.13	28.8	0.1	16.64
360	16.64	21.13	1.1	14.34
361	14.34	16.64	8.1	15.88
362	15.88	14.34	15.2	40.18
363	40.18	15.88	0.1	33.39
364	33.39	40.18	0	24.42
365	24.42	33.39	0	19.05
366	19.05	24.42	0	16.2
367	16.2	19.05	0.3	14.34
368	14.34	16.2	4	13.58
369	13.58	14.34	5	14.34
370	14.34	13.58	0.1	14.34
371	14.34	14.34	0	13.58
372	13.58	14.34	0	12.04
373	12.04	13.58	0	11.61
374	11.61	12.04	0	10.95
375	10.95	11.61	0.1	10.24
376	10.24	10.95	0.4	9.88
377	9.88	10.24	0.3	9.2
378	9.2	9.88	10.3	9.53
379	9.53	9.2	2.6	12.04
380	12.04	9.53	3.3	12.04
381	12.04	12.04	1.6	12.81
382	12.81	12.04	2	13.14
383	13.14	12.81	6.3	15.11
384	15.11	13.14	6.8	17.85
385	17.85	15.11	0.8	18.28
386	18.28	17.85	0	15.55
387	15.55	18.28	0.2	14.34
388	14.34	15.55	17.4	13.58
389	13.58	14.34	0	12.48
390	12.48	13.58	0	11.28
391	11.28	12.48	0.2	12.04
392	12.04	11.28	3	21.13
393	21.13	12.04	0.1	21.13
394	21.13	21.13	0	18.28
395	18.28	21.13	0.6	16.64
396	16.64	18.28	0	15.11
397	15.11	16.64	0	14.01
398	14.01	15.11	3.5	13.14
399	13.14	14.01	0	12.04
400	12.04	13.14	0	10.95
401	10.95	12.04	0.1	10.6
402	10.6	10.95	1.1	9.88
403	9.88	10.6	4.1	10.24
404	10.24	9.88	6	12.48
405	12.48	10.24	0	14.67
406	14.67	12.48	0.8	14.01
407	14.01	14.67	5.3	14.34
408	14.34	14.01	0.6	14.01
409	14.01	14.34	2.5	12.48
410	12.48	14.01	4.6	12.81
411	12.81	12.48	0	13.14
412	13.14	12.81	0.1	12.04
413	12.04	13.14	0.1	11.28
414	11.28	12.04	0	10.6
415	10.6	11.28	4.5	10.24
416	10.24	10.6	4.8	10.24
417	10.24	10.24	0.1	9.53
418	9.53	10.24	0	8.87
419	8.87	9.53	0	8.21
420	8.21	8.87	0.1	8.01
421	8.01	8.21	0	7.75
422	7.75	8.01	0.7	7.55
423	7.55	7.75	0.4	7.1
424	7.1	7.55	0	6.7
425	6.7	7.1	0	6.51
426	6.51	6.7	4.2	6.51
427	6.51	6.51	0.1	6.38
428	6.38	6.51	0.1	5.99
429	5.99	6.38	0	5.8
430	5.8	5.99	0	5.61
431	5.61	5.8	0.1	5.49
432	5.49	5.61	0	5.3
433	5.3	5.49	0.8	5.74
434	5.74	5.3	15.6	7.23
435	7.23	5.74	0.1	8.01
436	8.01	7.23	0.1	7.16
437	7.16	8.01	0.8	7.1
438	7.1	7.16	6	7.49
439	7.49	7.1	1.3	8.21
440	8.21	7.49	0	8.87
441	8.87	8.21	0.7	8.54
442	8.54	8.87	0.3	8.54
443	8.54	8.54	0.1	8.01
444	8.01	8.54	0	7.42
445	7.42	8.01	0	6.9
446	6.9	7.42	0.2	6.51
447	6.51	6.9	5	6.45
448	6.45	6.51	0.2	6.51
449	6.51	6.45	0	6.12
450	6.12	6.51	1.3	5.8
451	5.8	6.12	0.6	5.61
452	5.61	5.8	14.2	6.12
453	6.12	5.61	2.2	8.87
454	8.87	6.12	4.6	8.87
455	8.87	8.87	0.6	9.53
456	9.53	8.87	0.5	9.53
457	9.53	9.53	0.1	8.87
458	8.87	9.53	0.1	8.15
459	8.15	8.87	1	9.41
460	9.41	8.15	27.8	32.85
461	32.85	9.41	0.3	33.39
462	33.39	32.85	0.7	21.13
463	21.13	33.39	0.4	15.55
464	15.55	21.13	2	12.81
465	12.81	15.55	4	11.28
466	11.28	12.81	0.2	10.24
467	10.24	11.28	0	8.87
468	8.87	10.24	1	8.21
469	8.21	8.87	2.4	8.01
470	8.01	8.21	0.9	7.62
471	7.62	8.01	0	7.1
472	7.1	7.62	0	6.57
473	6.57	7.1	0.1	6.25
474	6.25	6.57	1.4	5.99
475	5.99	6.25	0	5.74
476	5.74	5.99	0	5.42
477	5.42	5.74	2.6	5.35
478	5.35	5.42	10.6	5.74
479	5.74	5.35	17.9	33.5
480	33.5	5.74	0.8	22.77
481	22.77	33.5	0	14.67
482	14.67	22.77	0.5	11.28
483	11.28	14.67	0.5	9.53
484	9.53	11.28	6.5	8.87
485	8.87	9.53	0.7	8.01
486	8.01	8.87	18.9	9.2
487	9.2	8.01	1	10.95
488	10.95	9.2	1	8.87
489	8.87	10.95	0.2	8.08
490	8.08	8.87	3.1	7.23
491	7.23	8.08	1.3	6.77
492	6.77	7.23	6.6	7.69
493	7.69	6.77	5.8	7.29
494	7.29	7.69	1.3	9.53
495	9.53	7.29	1.9	8.54
496	8.54	9.53	0.6	13.58
497	13.58	8.54	0.7	8.87
498	8.87	13.58	14.8	7.55
499	7.55	8.87	15.6	20.91
500	20.91	7.55	1.3	23.65
501	23.65	20.91	5.2	14.34
502	14.34	23.65	0.1	10.95
503	10.95	14.34	2.2	9.2
504	9.2	10.95	0	8.01
505	8.01	9.2	1.4	6.96
506	6.96	8.01	0	6.19
507	6.19	6.96	0	5.61
508	5.61	6.19	0	5.1
509	5.1	5.61	0	4.74
510	4.74	5.1	0	4.39
511	4.39	4.74	0	4.11
512	4.11	4.39	0.2	3.82
513	3.82	4.11	2	3.93
514	3.93	3.82	0.8	3.77
515	3.77	3.93	0.8	3.39
516	3.39	3.77	0	3.13
517	3.13	3.39	0	3.03
518	3.03	3.13	0	2.98
519	2.98	3.03	1	2.69
520	2.69	2.98	2	2.69
521	2.69	2.69	0.3	2.78
522	2.78	2.69	0.4	2.46
523	2.46	2.78	8.4	2.46
524	2.46	2.46	6.5	3.09
525	3.09	2.46	55.3	22.88
526	22.88	3.09	14.7	62.85
527	62.85	22.88	1.2	32.41
528	32.41	62.85	2.7	20.37
529	20.37	32.41	0.6	15.88
530	15.88	20.37	0.1	9.88
531	9.88	15.88	0	7.23
532	7.23	9.88	1.9	6.57
533	6.57	7.23	3.5	5.87
534	5.87	6.57	4.4	4.98
535	4.98	5.87	10.4	4.57
536	4.57	4.98	32.5	38.98
537	38.98	4.57	4.9	27.04
538	27.04	38.98	0.5	15.55
539	15.55	27.04	0	10.95
540	10.95	15.55	1	8.21
541	8.21	10.95	0	6.7
542	6.7	8.21	0	5.42
543	5.42	6.7	0	4.69
544	4.69	5.42	8.7	4.22
545	4.22	4.69	12.5	9.5
546	9.5	4.22	10.5	17.41
547	17.41	9.5	0.4	9.88
548	9.88	17.41	2.6	7.1
549	7.1	9.88	0.4	6.32
550	6.32	7.1	13.4	6.19
551	6.19	6.32	17.6	7.23
552	7.23	6.19	12.6	29.01
553	29.01	7.23	1.6	17.85
554	17.85	29.01	8.9	14.34
555	14.34	17.85	19.3	51.9
556	51.9	14.34	2.5	27.92
557	27.92	51.9	2.9	33.39
558	33.39	27.92	1.3	24.42
559	24.42	33.39	3.9	16.64
560	16.64	24.42	0.2	13.14
561	13.14	16.64	0.5	9.53
562	9.53	13.14	0.1	8.01
563	8.01	9.53	3.3	6.83
564	6.83	8.01	0.6	5.99
565	5.99	6.83	0.5	5.3
566	5.3	5.99	0	4.86
567	4.86	5.3	0.2	4.39
568	4.39	4.86	2.8	4.05
569	4.05	4.39	0.1	5.1
570	5.1	4.05	0	4.28
571	4.28	5.1	2.1	4.16
572	4.16	4.28	26.6	6.51
573	6.51	4.16	6.2	5.99
574	5.99	6.51	0.2	8.15
575	8.15	5.99	4.8	7.69
576	7.69	8.15	0.1	5.93
577	5.93	7.69	0.1	4.57
578	4.57	5.93	0	4.16
579	4.16	4.57	0.7	3.93
580	3.93	4.16	2.9	4.39
581	4.39	3.93	7.4	3.82
582	3.82	4.39	1.7	3.77
583	3.77	3.82	5.5	4.69
584	4.69	3.77	23	11.28
585	11.28	4.69	8.7	14.01
586	14.01	11.28	15.6	27.92
587	27.92	14.01	10.2	34.38
588	34.38	27.92	0.1	19.93
589	19.93	34.38	0.1	12.81
590	12.81	19.93	0.1	9.88
591	9.88	12.81	3	7.82
592	7.82	9.88	3.3	7.1
593	7.1	7.82	0	6.38
594	6.38	7.1	0	5.61
595	5.61	6.38	2	5.05
596	5.05	5.61	2.5	5.1
597	5.1	5.05	29.4	9.2
598	9.2	5.1	3	27.04
599	27.04	9.2	0.7	14.34
600	14.34	27.04	1.7	10.24
601	10.24	14.34	0	8.54
602	8.54	10.24	0	7.03
603	7.03	8.54	0	5.99
604	5.99	7.03	0.1	5.61
605	5.61	5.99	3.5	5.8
606	5.8	5.61	0.9	8.54
607	8.54	5.8	0.3	6.32
608	6.32	8.54	0	5.23
609	5.23	6.32	0	4.63
610	4.63	5.23	0	4.16
611	4.16	4.63	0	4.11
612	4.11	4.16	0.8	3.93
613	3.93	4.11	7.4	3.88
614	3.88	3.93	0	3.77
615	3.77	3.88	0.1	3.6
616	3.6	3.77	1.1	3.39
617	3.39	3.6	0.9	3.03
618	3.03	3.39	4.8	3.45
619	3.45	3.03	3.4	3.23
620	3.23	3.45	0	3.23
621	3.23	3.23	0.6	2.88
622	2.88	3.23	2.8	2.69
623	2.69	2.88	0.2	2.55
624	2.55	2.69	0.1	2.16
625	2.16	2.55	0	2.41
626	2.41	2.16	0	2.69
627	2.69	2.41	1.8	2.69
628	2.69	2.69	4.1	2.41
629	2.41	2.69	7.3	2.46
630	2.46	2.41	0	2.47
631	2.47	2.46	0	2.04
632	2.04	2.47	0	2.19
633	2.19	2.04	0	2.47
634	2.47	2.19	0	2.62
635	2.62	2.47	0	2.1
636	2.1	2.62	2.7	2.17
637	2.17	2.1	1.9	2.15
638	2.15	2.17	0	2.01
639	2.01	2.15	0	2.08
640	2.08	2.01	0	2.26
641	2.26	2.08	0.1	2.42
642	2.42	2.26	0.2	1.97
643	1.97	2.42	1.8	2.1
644	2.1	1.97	0.8	2.06
645	2.06	2.1	1.9	1.82
646	1.82	2.06	0	1.96
647	1.96	1.82	0	2.28
648	2.28	1.96	0	2.28
649	2.28	2.28	0	1.95
650	1.95	2.28	0	2.04
651	2.04	1.95	0.1	1.97
652	1.97	2.04	0.2	1.9
653	1.9	1.97	0	1.73
654	1.73	1.9	0.1	2.35
655	2.35	1.73	20	2.51
656	2.51	2.35	3.4	2.17
657	2.17	2.51	0.1	2.37
658	2.37	2.17	24.7	3.33
659	3.33	2.37	3	5.46
660	5.46	3.33	10.6	6.01
661	6.01	5.46	9.5	10.55
662	10.55	6.01	5.6	10.47
663	10.47	10.55	0	13.03
664	13.03	10.47	5.7	9.31
665	9.31	13.03	0	7.49
666	7.49	9.31	0.1	6.11
667	6.11	7.49	0.1	5.54
668	5.54	6.11	0.1	4.82
669	4.82	5.54	0	4.41
670	4.41	4.82	0	4.14
671	4.14	4.41	0	3.86
672	3.86	4.14	0	3.68
673	3.68	3.86	0	3.39
674	3.39	3.68	5.3	3.45
675	3.45	3.39	0	3.37
676	3.37	3.45	0	3.25
677	3.25	3.37	0.5	3.09
678	3.09	3.25	1.2	3.03
679	3.03	3.09	0.5	2.93
680	2.93	3.03	0	2.78
681	2.78	2.93	0	2.74
682	2.74	2.78	0.1	2.78
683	2.78	2.74	0	2.81
684	2.81	2.78	0	2.73
685	2.73	2.81	0.7	2.63
686	2.63	2.73	0.5	2.55
687	2.55	2.63	0	2.22
688	2.22	2.55	0	2.39
689	2.39	2.22	13.2	3.07
690	3.07	2.39	2.7	3.28
691	3.28	3.07	0	3.01
692	3.01	3.28	0	2.92
693	2.92	3.01	0.7	2.56
694	2.56	2.92	0	2.45
695	2.45	2.56	0.5	2.52
696	2.52	2.45	0	2.63
697	2.63	2.52	0.2	3.07
698	3.07	2.63	0.1	2.52
699	2.52	3.07	0.1	2.52
700	2.52	2.52	0	2.43
701	2.43	2.52	3.4	2.12
702	2.12	2.43	4.9	2.37
703	2.37	2.12	9.1	3.36
704	3.36	2.37	3	4.49
705	4.49	3.36	0	5.08
706	5.08	4.49	0	5.15
707	5.15	5.08	0.1	4.75
708	4.75	5.15	0.6	4.36
709	4.36	4.75	3	4.49
710	4.49	4.36	0.1	4.31
711	4.31	4.49	0.1	4.13
712	4.13	4.31	0	3.85
713	3.85	4.13	0.2	3.99
714	3.99	3.85	7.5	3.99
715	3.99	3.99	0	4.27
716	4.27	3.99	0.2	4.38
717	4.38	4.27	13.4	6.44
718	6.44	4.38	1.7	13.8
719	13.8	6.44	0	12.26
720	12.26	13.8	0	9.76
721	9.76	12.26	0	8.15
722	8.15	9.76	0	7.08
723	7.08	8.15	0.1	6.59
724	6.59	7.08	0.8	5.96
725	5.96	6.59	2	5.72
726	5.72	5.96	0.3	5.32
727	5.32	5.72	0.5	4.84
728	4.84	5.32	0.6	4.55
729	4.55	4.84	0.2	4.23
730	4.23	4.55	0	4.07
731	4.07	4.23	0	3.83
732	3.83	4.07	1	3.81
733	3.81	3.83	2.2	3.77
734	3.77	3.81	7.6	3.94
735	3.94	3.77	0.6	4.85
736	4.85	3.94	0.4	5.06
737	5.06	4.85	0	4.93
738	4.93	5.06	0.4	4.6
739	4.6	4.93	0	4.4
740	4.4	4.6	0.2	4.27
741	4.27	4.4	1.5	4.23
742	4.23	4.27	0	4.04
743	4.04	4.23	0	3.74
744	3.74	4.04	0	3.77
745	3.77	3.74	0.3	3.77
746	3.77	3.77	0.3	3.61
747	3.61	3.77	0	3.53
748	3.53	3.61	0.6	3.48
749	3.48	3.53	3.2	3.35
750	3.35	3.48	0.1	3.09
751	3.09	3.35	5.6	3.48
752	3.48	3.09	11.6	5.17
753	5.17	3.48	12.8	20.37
754	20.37	5.17	17.9	45.33
755	45.33	20.37	4.1	44.23
756	44.23	45.33	0	25.29
757	25.29	44.23	0	17.63
758	17.63	25.29	0	13.8
759	13.8	17.63	1.4	11.61
760	11.61	13.8	0.6	10.18
761	10.18	11.61	0.1	9.37
762	9.37	10.18	8	9.18
763	9.18	9.37	3.7	9.53
764	9.53	9.18	0	9.51
765	9.51	9.53	0.1	9.13
766	9.13	9.51	2	8.67
767	8.67	9.13	5.5	9.31
768	9.31	8.67	2.6	11.17
769	11.17	9.31	0.2	11.28
770	11.28	11.17	0.2	10.61
771	10.61	11.28	0	9.48
772	9.48	10.61	0.2	8.86
773	8.86	9.48	0.1	8.12
774	8.12	8.86	0.3	7.42
775	7.42	8.12	0.9	7.31
776	7.31	7.42	0.4	6.86
777	6.86	7.31	0.5	6.35
778	6.35	6.86	2.1	5.73
779	5.73	6.35	0.2	5.72
780	5.72	5.73	0	5.17
781	5.17	5.72	0.2	4.98
782	4.98	5.17	0.2	4.86
783	4.86	4.98	0.1	4.6
784	4.6	4.86	0.2	4.2
785	4.2	4.6	0.1	4.05
786	4.05	4.2	0	4.2
787	4.2	4.05	0.6	4.07
788	4.07	4.2	1.4	4.03
789	4.03	4.07	3	4.1
790	4.1	4.03	0	3.91
791	3.91	4.1	1.7	3.9
792	3.9	3.91	5.4	3.84
793	3.84	3.9	3.9	4.51
794	4.51	3.84	3	4.97
795	4.97	4.51	0	4.95
796	4.95	4.97	0.8	4.77
797	4.77	4.95	6.8	4.83
798	4.83	4.77	0.8	5.18
799	5.18	4.83	3.2	6.37
800	6.37	5.18	0.3	7.12
801	7.12	6.37	12.4	8.08
802	8.08	7.12	3.2	14.78
803	14.78	8.08	10.3	20.37
804	20.37	14.78	4.8	26.17
805	26.17	20.37	0	21.9
806	21.9	26.17	0	18.5
807	18.5	21.9	0.1	15.66
